TERR,LIB_TERR,periode,periode_milieu,periode_nb_annees,POPULATION_debut,POPULATION_fin,DECES,NAISSANCES,EVOL_DEMO_TOT,EVOL_DEMO_SN,EVOL_DEMO_SMA,TX_EVOL_DEMO_AN_TOT,TX_EVOL_DEMO_AN_SN,TX_EVOL_DEMO_AN_SMA,NIV_TERR
200007177,CC Pays de Nérondes,1999_2010,2004.5,11,5053,5126,818,643,73,-175,248,0.00130480521238874,-0.00312795770093191,0.00443276291332064,EPCI
200010650,CA du Grand Dole,2010_2015,2012.5,5,54259,53814,2479,3074,-445,595,-1040,-0.00164568854999547,0.00220041502752204,-0.00384610357751751,EPCI
200010650,CA du Grand Dole,1968_1975,1971.5,7,50550,52653,3239,6437,2103,3198,-1095,0.00583988194710394,0.00888061933753609,-0.00304073739043215,EPCI
200010650,CA du Grand Dole,1975_1982,1978.5,7,52653,51857,3276,5346,-796,2070,-2866,-0.00217381763286673,0.00565301821612327,-0.00782683584899,EPCI
200010650,CA du Grand Dole,1982_1990,1986,8,51857,52900,3773,5916,1043,2143,-1100,0.00249227663074803,0.00512075629884278,-0.00262847966809475,EPCI
200010650,CA du Grand Dole,1990_1999,1994.5,9,52900,52293,4230,5904,-607,1674,-2281,-0.00128149151684243,0.00353412981745341,-0.00481562133429584,EPCI
200010650,CA du Grand Dole,1999_2010,2004.5,11,52293,54259,5226,6978,1966,1752,214,0.00336075821565696,0.00299493814538707,0.000365820070269882,EPCI
200010700,CA Caux Seine Agglo,2010_2015,2012.5,5,75415,76842,3281,4906,1427,1625,-198,0.00375607070992157,0.00427723539146639,-0.000521164681544829,EPCI
200010700,CA Caux Seine Agglo,1968_1975,1971.5,7,59464,64453,3941,8033,4989,4092,897,0.0115757996229278,0.00949452236059739,0.00208127726233037,EPCI
200010700,CA Caux Seine Agglo,1975_1982,1978.5,7,64453,68874,4154,7152,4421,2998,1423,0.00952254972776534,0.00645749922728805,0.00306505050047729,EPCI
200010700,CA Caux Seine Agglo,1982_1990,1986,8,68874,72304,4781,9134,3430,4353,-923,0.00609357881745742,0.00773333778203853,-0.00163975896458111,EPCI
200010700,CA Caux Seine Agglo,1990_1999,1994.5,9,72304,73255,5482,8753,951,3271,-2320,0.00145294920765249,0.00499747303704657,-0.00354452382939408,EPCI
200010700,CA Caux Seine Agglo,1999_2010,2004.5,11,73255,75415,7079,10530,2160,3451,-1291,0.00264528253528051,0.00422632871724678,-0.00158104618196627,EPCI
200011773,CA Annemasse-les Voirons-Agglomération,2010_2015,2012.5,5,80287,89215,2418,6309,8928,3891,5037,0.0213122237940453,0.00928829108228385,0.0120239327117614,EPCI
200011773,CA Annemasse-les Voirons-Agglomération,1968_1975,1971.5,7,40419,53638,2546,5401,13219,2855,10364,0.0412506543776905,0.0089091926959911,0.0323414616816994,EPCI
200011773,CA Annemasse-les Voirons-Agglomération,1975_1982,1978.5,7,53638,58040,2745,5612,4402,2867,1535,0.0113315288414502,0.00738016655802763,0.00395136228342254,EPCI
200011773,CA Annemasse-les Voirons-Agglomération,1982_1990,1986,8,58040,65657,3486,6905,7617,3419,4198,0.0155333821648809,0.00697238199051171,0.00856100017436916,EPCI
200011773,CA Annemasse-les Voirons-Agglomération,1990_1999,1994.5,9,65657,68307,4220,8504,2650,4284,-1634,0.00440612624718528,0.00712296031809123,-0.00271683407090594,EPCI
200011773,CA Annemasse-les Voirons-Agglomération,1999_2010,2004.5,11,68307,80287,5259,11195,11980,5936,6044,0.0147989324704467,0.00733275986181734,0.00746617260862938,EPCI
