TERR,LIB_TERR,AGEREVS,type_indice,valeur,NIV_TERR
200040038,CC Saône Doubs Bresse,GLOBAL,IRI,0.0785336814605635,EPCI
200040095,CC Isle Vern Salembre en Périgord,GLOBAL,IRI,0.0614058394884164,EPCI
200040111,CC Coeur de Chartreuse,GLOBAL,IRI,0.0662965124831648,EPCI
200040137,CC des Lacs de Champagne,GLOBAL,IRI,0.0739830337109978,EPCI
200040178,CC de l'Outre-Forêt,GLOBAL,IRI,0.0702061771852891,EPCI
200040202,CC Provence Verdon,GLOBAL,IRI,0.0322605828676999,EPCI
200040210,CC Lacs et Gorges du Verdon,GLOBAL,IRI,0.0637595024995506,EPCI
200040244,CA du Bocage Bressuirais,GLOBAL,IRI,0.135911795023239,EPCI
200040251,CC Bassée-Montois,GLOBAL,IRI,0.0607055922361443,EPCI
200040277,CA du Pays de Dreux,GLOBAL,IRI,0.0607950537714378,EPCI
200040293,CC du Clunisois,GLOBAL,IRI,0.0891989620186103,EPCI
200040350,CC Bugey Sud,GLOBAL,IRI,0.0407790253060359,EPCI
200040384,CC Isle Double Landais,GLOBAL,IRI,0.0483952416567316,EPCI
200040392,CA Le Grand Périgueux,GLOBAL,IRI,0.0839574579046793,EPCI
200040400,CC du Pays Ribéracois,GLOBAL,IRI,0.0691292755388828,EPCI
200040418,CC du Pays de Serres en Quercy,GLOBAL,IRI,0.129370545937444,EPCI
200040426,CC du Val de l'Oise,GLOBAL,IRI,0.0938344440805007,EPCI
200040442,CA Luberon Monts de Vaucluse,GLOBAL,IRI,0.0579712307611405,EPCI
200040459,CA Montélimar Agglomération,GLOBAL,IRI,0.0514944461615586,EPCI
200040475,CC Loué - Brûlon - Noyen,GLOBAL,IRI,0.109701867826069,EPCI
200040491,CC Porte de Drômardèche,GLOBAL,IRI,0.0521433150177342,EPCI
200040509,CC du Crestois et de Pays de Saillans Coeur de Drôme,GLOBAL,IRI,0.0570723861629697,EPCI
200040558,CC Écueillé-Valençay,GLOBAL,IRI,0.0683368528917378,EPCI
200040566,CA de l'Ouest Rhodanien,GLOBAL,IRI,0.0551337716230827,EPCI
200040574,CC Beaujolais Pierres Dorées,GLOBAL,IRI,0.059979871956047,EPCI
200040590,CA Villefranche Beaujolais Saône,GLOBAL,IRI,0.0540412647661696,EPCI
200040624,CC Pays d'Apt-Luberon,GLOBAL,IRI,0.0369154034583344,EPCI
200040657,CC de la Matheysine,GLOBAL,IRI,0.0622248609506015,EPCI
200040681,CC Enclave des Papes-Pays de Grignan,GLOBAL,IRI,0.0328371976506588,EPCI
200040715,Métropole Grenoble-Alpes-Métropole,GLOBAL,IRI,0.123724358291178,EPCI
200040764,CC du Sud Corse,GLOBAL,IRI,0.0279333449345409,EPCI
200040772,CC du Perche et Haut Vendômois,GLOBAL,IRI,0.106836479507436,EPCI
200040798,CC Val Vanoise,GLOBAL,IRI,0.0739419216953067,EPCI
200040814,CC Briance Sud Haute Vienne,GLOBAL,IRI,0.107124338028379,EPCI
200040830,CC du Pays de Fénelon,GLOBAL,IRI,0.0654037828794472,EPCI
200040889,CC de Portes Sud Périgord,GLOBAL,IRI,0.014727856456136,EPCI
200040905,CC Carmausin-Ségala,GLOBAL,IRI,0.0692804836406685,EPCI
200040947,CC de Flandre Intérieure,GLOBAL,IRI,0.0737858306185273,EPCI
200040954,CC des Hauts de Flandre,GLOBAL,IRI,0.0722560970665411,EPCI
200041010,CC Coeur de Savoie,GLOBAL,IRI,0.0566697551279648,EPCI
200041051,CC Vallée de la Dordogne et Forêt Bessède,GLOBAL,IRI,0.0432903918999977,EPCI
200041150,CC du Terrassonnais en Périgord Noir Thenon Hautefort,GLOBAL,IRI,0.070322870061427,EPCI
200041168,CC de la Vallée de l'Homme,GLOBAL,IRI,0.0421537126083021,EPCI
200041283,CC de la Plaine du Rhin,GLOBAL,IRI,0.0723117564669101,EPCI
200041317,CA du Niortais,GLOBAL,IRI,0.106086530246995,EPCI
200041325,CC du Pays Rhénan,GLOBAL,IRI,0.0849133964119762,EPCI
200041333,CC de Parthenay-Gâtine,GLOBAL,IRI,0.0704833713557718,EPCI
200041366,CC Rhône Crussol,GLOBAL,IRI,0.0721134765154528,EPCI
200041416,CC Airvaudais-Val du Thouet,GLOBAL,IRI,0.169519714524876,EPCI
200041440,CC de Domme - Villefranche du Périgord,GLOBAL,IRI,0.0646441835711946,EPCI
200041465,CC Val Eyrieux,GLOBAL,IRI,0.0382252537193934,EPCI
200041499,CC Aunis Atlantique,GLOBAL,IRI,0.0387257099246028,EPCI
200041507,CA La Riviera du Levant,GLOBAL,IRI,0.0512681805276871,EPCI
200041515,CC du Bassin de Pont-à-Mousson,GLOBAL,IRI,0.0712221749938029,EPCI
200041523,CC de la Haute-Saintonge,GLOBAL,IRI,0.0461304453703106,EPCI
200041556,CC Portes de la Creuse en Marche,GLOBAL,IRI,0.0527254754034636,EPCI
200041572,CC Dronne et Belle,GLOBAL,IRI,0.0510099242323698,EPCI
200041614,CC Aunis Sud,GLOBAL,IRI,0.0429814987879576,EPCI
200041622,CC Ardennes Thiérache,GLOBAL,IRI,0.0663145961050138,EPCI
